iter	Logloss
0	0.4490817589
1	0.3171460014
2	0.229349163
3	0.1716245607
4	0.1075304547
5	0.07170654599
6	0.05319041186
7	0.03882761703
8	0.0293985443
9	0.02273625128
10	0.01821909913
11	0.01544419604
12	0.01342450643
13	0.01192493622
14	0.01060351956
15	0.009695782893
16	0.008983344417
17	0.008431387102
18	0.007875948159
19	0.007476128031
20	0.007107098744
21	0.006859088616
22	0.006825995821
23	0.006559463485
24	0.006349377209
25	0.00616854887
26	0.006007613909
27	0.005867703857
28	0.005742531702
29	0.005635796812
30	0.005534779837
31	0.005516960892
32	0.005481623548
33	0.005470594141
34	0.005463929314
35	0.005445962033
36	0.005436771972
37	0.005415229582
38	0.005377236988
39	0.005372379011
40	0.005328383609
41	0.005323753817
42	0.005316297448
43	0.005086819766
44	0.004904163095
45	0.004900437864
46	0.004882875716
47	0.004757295776
48	0.004722422276
49	0.004665249171
50	0.004545656639
51	0.00453708612
52	0.004512851867
53	0.004431342336
54	0.004424341176
55	0.00433556257
56	0.004327251911
57	0.004317053496
58	0.004207041436
59	0.004176448823
60	0.004137213678
61	0.00406724735
62	0.003991906127
63	0.003990229866
64	0.003984265681
65	0.003961658419
66	0.003953763258
67	0.003949997333
68	0.003944656227
69	0.003934597941
70	0.003907263291
71	0.003903103603
72	0.003896056903
73	0.00389309345
74	0.003882676421
75	0.003816794347
76	0.003797995864
77	0.003746335727
78	0.003738422126
79	0.003731746906
80	0.003681685675
81	0.003648083152
82	0.003643285799
83	0.00361939479
84	0.003604429324
85	0.003544056888
86	0.003525389707
87	0.003521988124
88	0.003519887428
89	0.003513112359
90	0.003510224918
91	0.003459156526
92	0.00343301531
93	0.003412255231
94	0.003407207069
95	0.003393201015
96	0.003388232707
97	0.003382054361
98	0.003324494919
99	0.003276129651
