dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
slovak_manufacture_13,,,mean,Logistic-Regression,Classical,0.8686131386861314,0.9230626418665195,0.9916284201559723,0.8686131386861314,0.8016748366013072,0.8511029411764706,0.5069862496390253,0.8333333333333334,0.13616737543614,0.5798174870666412,0.5346279144287109,
slovak_manufacture_13,,,mean,Random-Forest,Classical,0.9841849148418491,0.9857518606641484,0.9874065893943611,0.9841849148418491,0.9321895424836601,0.5784313725490197,0.5626764886433395,0.16666666666666666,0.2268591426071741,0.12,0.4088163375854492,
slovak_manufacture_13,,,mean,Gradient-Boosting,Classical,0.7408759124087592,0.8442277309240135,0.9912280882206178,0.7408759124087592,0.8801062091503268,0.786764705882353,0.44747430439625985,0.8333333333333334,0.23669537638443278,0.006212536260837532,6.741362571716309,
slovak_manufacture_13,,,mean,XGBoost,Classical,0.7846715328467153,0.8724953005050007,0.9913536921361518,0.7846715328467153,0.8790849673202614,0.8088235294117647,0.46599671877236576,0.8333333333333334,0.2599725546260016,0.0002902391424868256,1.0017516613006592,
slovak_manufacture_13,,,mean,LightGBM,Classical,0.8065693430656934,0.8861228657998707,0.9914182595164801,0.8065693430656934,0.8817401960784313,0.8198529411764706,0.4756874937318223,0.8333333333333334,0.20052132348328,7.823070998793596e-05,6.077773332595825,
slovak_manufacture_13,,,mean,SVM,Classical,0.8065693430656934,0.8862457954831476,0.9883465934973993,0.8065693430656934,0.6746323529411765,0.6544117647058824,0.4644292826848608,0.5,0.35275141338223576,0.010879759156354219,2.4835197925567627,
slovak_manufacture_13,,,mean,MLP,Classical,0.08394160583941605,0.1462274637970758,0.9631065439467716,0.08394160583941605,0.25306372549019607,0.37316176470588236,0.07886892581883229,0.6666666666666666,0.005665420500377218,0.11993691095431348,0.7463252544403076,
slovak_manufacture_13,,,mean,TabPFN,Foundation,0.9476885644768857,0.9668320532798617,0.9893870003392831,0.9476885644768857,0.9340277777777778,0.7254901960784313,0.547744865971467,0.5,0.23653876223535666,0.027031976729631424,25.72001338005066,
slovak_manufacture_13,,,mean,TabICL,Foundation,0.889294403892944,0.9348208182025771,0.9902912182342543,0.889294403892944,0.9413807189542484,0.7787990196078431,0.5109542022163381,0.6666666666666666,0.3889643231748494,0.009404497221112251,6.152395009994507,
slovak_manufacture_13,,,mean,CatBoost,Foundation,0.7737226277372263,0.865451314795592,0.9929288321167883,0.7737226277372263,0.926266339869281,0.8860294117647058,0.46598767760593485,1.0,0.366297542768131,0.0002877884166673558,2.721975803375244,
slovak_manufacture_13,,,median,Logistic-Regression,Classical,0.8637469586374696,0.9202487799301756,0.991609261951601,0.8637469586374696,0.8006535947712419,0.8486519607843137,0.5041899140475216,0.8333333333333334,0.13927209763578632,0.5700000000000001,0.5507192611694336,
slovak_manufacture_13,,,median,Random-Forest,Classical,0.9854014598540146,0.9864352565619863,0.9875154683548844,0.9854014598540146,0.8888888888888888,0.5790441176470589,0.5677475898334794,0.16666666666666666,0.2232336257481325,0.13,0.43695950508117676,
slovak_manufacture_13,,,median,Gradient-Boosting,Classical,0.7992700729927007,0.8817581885646072,0.9883005638830057,0.7992700729927007,0.8227124183006536,0.6507352941176471,0.4615357130096116,0.5,0.10501530833913458,0.008381490879517853,6.723632335662842,
slovak_manufacture_13,,,median,XGBoost,Classical,0.6909975669099757,0.8102627352548013,0.9910820809721766,0.6909975669099757,0.8768382352941176,0.7616421568627452,0.42691040843214756,0.8333333333333334,0.21869622330848906,0.00017923548875842243,1.015699863433838,
slovak_manufacture_13,,,median,LightGBM,Classical,0.9063260340632603,0.9442610874252139,0.9889876644689753,0.9063260340632603,0.860498366013072,0.704656862745098,0.5114809011832081,0.5,0.15833166005830554,0.0002074276577661452,1.866403579711914,
slovak_manufacture_13,,,median,SVM,Classical,0.7846715328467153,0.8726744587466052,0.9882072336715876,0.7846715328467153,0.673202614379085,0.6433823529411764,0.4558184939576531,0.5,0.35390646506491463,0.00963960035421817,2.468301296234131,
slovak_manufacture_13,,,median,MLP,Classical,0.08759124087591241,0.152455478765244,0.9643766778337364,0.08759124087591241,0.23794934640522877,0.375,0.08202648052079549,0.6666666666666666,0.005443653114192216,0.12213406233322237,0.7541422843933105,
slovak_manufacture_13,,,median,TabPFN,Foundation,0.9440389294403893,0.9648593895925445,0.9893390087257524,0.9440389294403893,0.9244281045751633,0.7236519607843137,0.5432450715114031,0.5,0.22883948603261495,0.024872586131095886,24.65532612800598,
slovak_manufacture_13,,,median,TabICL,Foundation,0.864963503649635,0.9209534953994711,0.9916139866242143,0.864963503649635,0.9417892156862745,0.849264705882353,0.5048810796438087,0.8333333333333334,0.39044401544401547,0.007891984656453133,6.007892370223999,
slovak_manufacture_13,,,median,CatBoost,Foundation,0.9829683698296837,0.9857755511861689,0.9890150491123727,0.9829683698296837,0.9454656862745098,0.6605392156862745,0.6068060680606806,0.3333333333333333,0.2718481861627023,0.07008918367829578,2.480301856994629,
slovak_manufacture_13,,,knn,Logistic-Regression,Classical,0.8381995133819952,0.9052503442229026,0.9915179284991209,0.8381995133819952,0.803921568627451,0.8357843137254902,0.4906612374966805,0.8333333333333334,0.14367304910178358,0.5466094313753274,0.5345227718353271,
slovak_manufacture_13,,,knn,Random-Forest,Classical,0.9805352798053528,0.9843802811837045,0.9888291227454342,0.9805352798053528,0.9352532679738562,0.6593137254901961,0.5950738916256157,0.3333333333333333,0.14121564241181467,0.09999999999999999,0.42841553688049316,
slovak_manufacture_13,,,knn,Gradient-Boosting,Classical,0.7128953771289538,0.8254170674910596,0.991147126696265,0.7128953771289538,0.8462009803921569,0.772671568627451,0.4359189085453086,0.8333333333333334,0.11286339694917571,0.004860225078684018,7.050482749938965,
slovak_manufacture_13,,,knn,XGBoost,Classical,0.8017031630170316,0.8831914226426121,0.9898557618985576,0.8017031630170316,0.8737745098039217,0.7346813725490196,0.46806255285191933,0.6666666666666666,0.1513329214954115,0.00034503897768445313,1.165923833847046,
slovak_manufacture_13,,,knn,LightGBM,Classical,0.7627737226277372,0.8584150087003342,0.9929186185859027,0.7627737226277372,0.9048202614379085,0.8805147058823529,0.46113582039877765,1.0,0.22563665942336453,5.949330721030369e-05,1.836731195449829,
slovak_manufacture_13,,,knn,SVM,Classical,0.6861313868613139,0.807059017135924,0.9892802835785406,0.6861313868613139,0.6685049019607844,0.6764705882352942,0.42142366074838766,0.6666666666666666,0.2542578381951126,0.0075916213259520455,2.446098566055298,
