dataset,missing_mechanism,missing_rate,target_rate,initial_missing_rate,final_missing_rate,absolute_deviation,relative_deviation,tolerance_abs,status,passed,n_train,n_features,error
slovak_manufacture_13,MAR,10,0.1,0.9262937595129376,0.9262937595129376,0.8262937595129376,8.262937595129376,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,15,0.15,0.9262937595129376,0.9262937595129376,0.7762937595129376,5.175291730086251,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,20,0.2,0.9262937595129376,0.9262937595129376,0.7262937595129375,3.6314687975646875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,30,0.3,0.9262937595129376,0.9262937595129376,0.6262937595129376,2.0876458650431258,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MAR,40,0.4,0.9262937595129376,0.9262937595129376,0.5262937595129376,1.3157343987823438,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,5,0.05,0.9262937595129376,0.9262937595129376,0.8762937595129375,17.52587519025875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,10,0.1,0.9262937595129376,0.9262937595129376,0.8262937595129376,8.262937595129376,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,15,0.15,0.9262937595129376,0.9262937595129376,0.7762937595129376,5.175291730086251,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,20,0.2,0.9262937595129376,0.9262937595129376,0.7262937595129375,3.6314687975646875,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,30,0.3,0.9262937595129376,0.9262937595129376,0.6262937595129376,2.0876458650431258,0.01,skipped_native_above_target,True,3285,64,
slovak_manufacture_13,MNAR,40,0.4,0.9262937595129376,0.9262937595129376,0.5262937595129376,1.3157343987823438,0.01,skipped_native_above_target,True,3285,64,
