phase,dataset,preprocessing,model,best_cv_score,accuracy,f1,precision,recall,roc_auc,has_error,error,best_params_json
4.1,taiwan_bankruptcy,median,logistic_regression,0.9620865147339026,0.9618768328445748,0.95568050540058,0.9513244555550214,0.9618768328445748,0.8467286501377409,False,,"{""C"": 10, ""penalty"": ""l2""}"
4.1,taiwan_bankruptcy,median,random_forest,0.9601976612084006,0.9721407624633431,0.9643478020916691,0.9668829929375835,0.9721407624633431,0.9366563360881542,False,,"{""max_depth"": 10, ""min_samples_split"": 10, ""n_estimators"": 50}"
4.1,taiwan_bankruptcy,mice,logistic_regression,0.9620865147339026,0.9618768328445748,0.95568050540058,0.9513244555550214,0.9618768328445748,0.8467286501377409,False,,"{""C"": 10, ""penalty"": ""l2""}"
4.1,taiwan_bankruptcy,mice,random_forest,0.9601976612084006,0.9721407624633431,0.9643478020916691,0.9668829929375835,0.9721407624633431,0.9366563360881542,False,,"{""max_depth"": 10, ""min_samples_split"": 10, ""n_estimators"": 50}"
4.1,taiwan_bankruptcy,mice_indicator,logistic_regression,0.9620865147339026,0.9618768328445748,0.9549004649811101,0.9500576036866359,0.9618768328445748,0.8467803030303029,False,,"{""C"": 10, ""penalty"": ""l2""}"
4.1,taiwan_bankruptcy,mice_indicator,random_forest,0.9603926366948743,0.9699413489736071,0.9619419377297967,0.9618057022369241,0.9699413489736071,0.9203168044077136,False,,"{""max_depth"": 20, ""min_samples_split"": 2, ""n_estimators"": 100}"
4.1,polish_1year,median,logistic_regression,0.9426308491322605,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.6400531448608372,False,,"{""C"": 0.01, ""penalty"": ""l2""}"
4.1,polish_1year,median,random_forest,0.9520151168742899,0.9644381223328592,0.9505235039200767,0.9599431009957327,0.9644381223328592,0.9348633026517642,False,,"{""max_depth"": null, ""min_samples_split"": 10, ""n_estimators"": 50}"
4.1,polish_1year,mice,logistic_regression,0.9428163574997406,0.9608819345661451,0.9424101382179385,0.9246351427284186,0.9608819345661451,0.654421433267587,False,,"{""C"": 0.01, ""penalty"": ""l2""}"
4.1,polish_1year,mice,random_forest,0.9610371375568313,0.9736842105263158,0.9670048942438207,0.9743852070781706,0.9736842105263158,0.9297542735042734,False,,"{""max_depth"": null, ""min_samples_split"": 5, ""n_estimators"": 200}"
