phase,dataset,model,model_type,preprocessing,accuracy,f1,precision,recall,roc_auc,training_time_seconds,missing_mechanism,missing_rate
4.1,taiwan_bankruptcy,Logistic-Regression,Classical,median,0.9618768328445748,0.95568050540058,0.9513244555550214,0.9618768328445748,0.8467286501377409,,,
4.1,taiwan_bankruptcy,Random-Forest,Classical,median,0.9721407624633431,0.9643478020916691,0.9668829929375835,0.9721407624633431,0.9366563360881542,,,
4.1,taiwan_bankruptcy,Logistic-Regression,Classical,mice,0.9618768328445748,0.95568050540058,0.9513244555550214,0.9618768328445748,0.8467286501377409,,,
4.1,taiwan_bankruptcy,Random-Forest,Classical,mice,0.9721407624633431,0.9643478020916691,0.9668829929375835,0.9721407624633431,0.9366563360881542,,,
4.1,taiwan_bankruptcy,Logistic-Regression,Classical,mice_indicator,0.9618768328445748,0.9549004649811101,0.9500576036866359,0.9618768328445748,0.8467803030303029,,,
4.1,taiwan_bankruptcy,Random-Forest,Classical,mice_indicator,0.9699413489736071,0.9619419377297967,0.9618057022369241,0.9699413489736071,0.9203168044077136,,,
4.1,polish_1year,Logistic-Regression,Classical,median,0.9615931721194879,0.9441237591684464,0.9444971287076551,0.9615931721194879,0.6400531448608372,,,
4.1,polish_1year,Random-Forest,Classical,median,0.9644381223328592,0.9505235039200767,0.9599431009957327,0.9644381223328592,0.9348633026517642,,,
4.1,polish_1year,Logistic-Regression,Classical,mice,0.9608819345661451,0.9424101382179385,0.9246351427284186,0.9608819345661451,0.654421433267587,,,
4.1,polish_1year,Random-Forest,Classical,mice,0.9736842105263158,0.9670048942438207,0.9743852070781706,0.9736842105263158,0.9297542735042734,,,
4.1,polish_1year,Logistic-Regression,Classical,mice_indicator,0.9623044096728307,0.9527367404033108,0.9507730721179156,0.9623044096728307,0.8873137190444882,,,
4.1,polish_1year,Random-Forest,Classical,mice_indicator,0.9772403982930299,0.9740891421706362,0.9753117866948955,0.9772403982930299,0.9367192636423406,,,
4.1,slovak_manufacture_13,Logistic-Regression,Classical,median,0.9914841849148418,0.9884558275998911,0.9854459133867369,0.9914841849148418,0.9877450980392157,,,
4.1,slovak_manufacture_13,Random-Forest,Classical,median,0.9914841849148418,0.9900726950750389,0.9890733759346898,0.9914841849148418,0.9955065359477123,,,
4.1,slovak_manufacture_13,Logistic-Regression,Classical,mice,0.9562043795620438,0.970832581813589,0.9866459161045921,0.9562043795620438,0.7854370915032679,,,
4.1,slovak_manufacture_13,Random-Forest,Classical,mice,0.9927007299270073,0.9908848357218069,0.9902973117322413,0.9927007299270073,0.982843137254902,,,
4.1,slovak_manufacture_13,Logistic-Regression,Classical,mice_indicator,0.9574209245742092,0.9714745473265451,0.9866612172435545,0.9574209245742092,0.7888071895424836,,,
4.1,slovak_manufacture_13,Random-Forest,Classical,mice_indicator,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.9736519607843137,,,
4.2,taiwan_bankruptcy,Svm,Classical,median,0.9655425219941349,0.9532813667720694,0.947006306266534,0.9655425219941349,0.874810606060606,,,
4.2,taiwan_bankruptcy,Mlp,Classical,median,0.967741935483871,0.9518773135906928,0.9365244536940688,0.967741935483871,0.547382920110193,,,
4.2,taiwan_bankruptcy,Svm,Classical,mice,0.9655425219941349,0.9532813667720694,0.947006306266534,0.9655425219941349,0.874810606060606,,,
4.2,taiwan_bankruptcy,Mlp,Classical,mice,0.967741935483871,0.9518773135906928,0.9365244536940688,0.967741935483871,0.547382920110193,,,
4.2,taiwan_bankruptcy,Svm,Classical,mice_indicator,0.9655425219941349,0.9532813667720694,0.947006306266534,0.9655425219941349,0.874810606060606,,,
4.2,taiwan_bankruptcy,Mlp,Classical,mice_indicator,0.9611436950146628,0.9584488593992008,0.9562056178958339,0.9611436950146628,0.8605371900826445,,,
4.2,polish_1year,Svm,Classical,median,0.9601706970128022,0.9420542687672777,0.9246088193456614,0.9601706970128022,0.48327580539118997,,,
4.2,polish_1year,Mlp,Classical,median,0.9615931721194879,0.9427657496051832,0.9246614286668191,0.9615931721194879,0.5758683979837825,,,
4.2,polish_1year,Svm,Classical,mice,0.9615931721194879,0.9427657496051832,0.9246614286668191,0.9615931721194879,0.5761354920008767,,,
4.2,polish_1year,Mlp,Classical,mice,0.9615931721194879,0.9427657496051832,0.9246614286668191,0.9615931721194879,0.47986522024983563,,,
4.2,polish_1year,Svm,Classical,mice_indicator,0.9658605974395448,0.9525025637632736,0.9670310912416176,0.9658605974395448,0.8777051829936445,,,
4.2,polish_1year,Mlp,Classical,mice_indicator,0.9708392603129445,0.9645996930530516,0.9669956430739254,0.9708392603129445,0.8879026955950032,,,
4.2,slovak_manufacture_13,Svm,Classical,median,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.9720179738562091,,,
4.2,slovak_manufacture_13,Mlp,Classical,median,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.32638888888888895,,,
4.2,slovak_manufacture_13,Svm,Classical,mice,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.9483251633986929,,,
4.2,slovak_manufacture_13,Mlp,Classical,mice,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.1527777777777778,,,
4.2,slovak_manufacture_13,Svm,Classical,mice_indicator,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.9442401960784315,,,
4.2,slovak_manufacture_13,Mlp,Classical,mice_indicator,0.9927007299270073,0.9890644635170184,0.9854547391976132,0.9927007299270073,0.10181781045751634,,,
4.3,taiwan_bankruptcy,Xgboost,Classical,median,0.9714076246334311,0.9680760635541,,,0.9452823691460055,,MCAR,5.0
4.3,taiwan_bankruptcy,Lightgbm,Classical,median,0.9721407624633431,0.9695789087091321,,,0.9521522038567494,,MCAR,5.0
4.3,taiwan_bankruptcy,Xgboost,Classical,mice,0.9736070381231672,0.9703030239985021,,,0.9493457300275482,,MCAR,5.0
4.3,taiwan_bankruptcy,Lightgbm,Classical,mice,0.9728739002932552,0.967007891861217,,,0.9633953168044077,,MCAR,5.0
