model,low (<=10%),medium (<=20%),high (>20%)
CatBoost,0.7323,0.7312,0.7622
Gradient-Boosting,0.7083,0.7047,0.7268
LightGBM,0.7566,0.78,0.7518
Logistic-Regression,0.8068,0.7278,0.6925
MLP,0.377,0.3597,0.3747
Random-Forest,0.6631,0.6988,0.7437
SVM,0.6533,0.6672,0.6399
TabICL,0.8455,0.8402,0.8232
TabPFN,0.7739,0.8136,0.81
XGBoost,0.7934,0.7835,0.765
