dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
taiwan_bankruptcy,,,mean,Logistic-Regression,Classical,0.7375366568914956,0.8223325062034741,0.9680825853846384,0.7375366568914956,0.9171487603305783,0.8314393939393939,0.5149475524475524,0.9318181818181818,0.3189765045643962,0.1931544004800167,0.5649068355560303,
taiwan_bankruptcy,,,mean,Random-Forest,Classical,0.8394428152492669,0.8889437808050729,0.9674086888685584,0.8394428152492669,0.9326790633608816,0.8511363636363636,0.5838073940939205,0.8636363636363636,0.4844444733067722,0.03,0.4641196727752685,
taiwan_bankruptcy,,,mean,Gradient-Boosting,Classical,0.8196480938416423,0.8766768005596062,0.9706836941859984,0.8196480938416423,0.9528236914600552,0.8848484848484849,0.5759799833194328,0.9545454545454546,0.4619083447246516,0.1021173206363487,16.352234840393066,
taiwan_bankruptcy,,,mean,XGBoost,Classical,0.8123167155425219,0.8717907381937555,0.9675747727145618,0.8123167155425219,0.949931129476584,0.8481060606060606,0.5632994662304464,0.8863636363636364,0.5493614630671202,0.0003964043862652,1.084308385848999,
taiwan_bankruptcy,,,mean,LightGBM,Classical,0.8299120234604106,0.8830843727233386,0.9690246671047869,0.8299120234604106,0.9511019283746556,0.8681818181818182,0.5801918831720156,0.9090909090909092,0.5279706229920195,0.001126637250465,2.0444462299346924,
taiwan_bankruptcy,,,mean,SVM,Classical,0.781524926686217,0.8519343599765131,0.9708765713946867,0.781524926686217,0.9174242424242424,0.8761363636363637,0.5484126137656428,0.9772727272727272,0.3436389554146546,0.0235152880205632,3.742032289505005,
taiwan_bankruptcy,,,mean,MLP,Classical,0.9442815249266864,0.9516821004126262,0.9614509890183396,0.9442815249266864,0.8398071625344352,0.740530303030303,0.6739428557049936,0.5227272727272727,0.2826549293285207,0.1659058749059087,1.0007846355438232,
taiwan_bankruptcy,,,mean,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,253.5786919593811,
taiwan_bankruptcy,,,mean,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,11.157641887664797,
taiwan_bankruptcy,,,mean,CatBoost,Classical,0.8357771260997068,0.8867189157973694,0.9682431909966642,0.8357771260997068,0.9415633608815426,0.8602272727272727,0.5829725435814002,0.8863636363636364,0.4484440292530017,0.0081457909131154,2.8289740085601807,
taiwan_bankruptcy,,,median,Logistic-Regression,Classical,0.7375366568914956,0.8223325062034741,0.9680825853846384,0.7375366568914956,0.9171487603305783,0.8314393939393939,0.5149475524475524,0.9318181818181818,0.3189765045643962,0.1931544004800167,0.6426403522491455,
taiwan_bankruptcy,,,median,Random-Forest,Classical,0.8394428152492669,0.8889437808050729,0.9674086888685584,0.8394428152492669,0.9326790633608816,0.8511363636363636,0.5838073940939205,0.8636363636363636,0.4844444733067722,0.03,0.4891664981842041,
taiwan_bankruptcy,,,median,Gradient-Boosting,Classical,0.8196480938416423,0.8766768005596062,0.9706836941859984,0.8196480938416423,0.9528236914600552,0.8848484848484849,0.5759799833194328,0.9545454545454546,0.4619083447246516,0.1021173206363487,16.418466567993164,
taiwan_bankruptcy,,,median,XGBoost,Classical,0.8123167155425219,0.8717907381937555,0.9675747727145618,0.8123167155425219,0.949931129476584,0.8481060606060606,0.5632994662304464,0.8863636363636364,0.5493614630671202,0.0003964043862652,1.1444203853607178,
taiwan_bankruptcy,,,median,LightGBM,Classical,0.8299120234604106,0.8830843727233386,0.9690246671047869,0.8299120234604106,0.9510502754820936,0.8681818181818182,0.5801918831720156,0.9090909090909092,0.5267173374594702,0.0011266375433373,1.8576209545135496,
taiwan_bankruptcy,,,median,SVM,Classical,0.781524926686217,0.8519343599765131,0.9708765713946867,0.781524926686217,0.9174242424242424,0.8761363636363637,0.5484126137656428,0.9772727272727272,0.3436389554146546,0.0235152880205632,3.870267152786255,
taiwan_bankruptcy,,,median,MLP,Classical,0.9442815249266864,0.9516821004126262,0.9614509890183396,0.9442815249266864,0.8398071625344352,0.740530303030303,0.6739428557049936,0.5227272727272727,0.2826549293285207,0.1659058749059087,1.0129265785217283,
taiwan_bankruptcy,,,median,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,299.6380567550659,
taiwan_bankruptcy,,,median,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,10.761334419250488,
taiwan_bankruptcy,,,median,CatBoost,Classical,0.8357771260997068,0.8867189157973694,0.9682431909966642,0.8357771260997068,0.9415633608815426,0.8602272727272727,0.5829725435814002,0.8863636363636364,0.4484440292530017,0.0081457909131154,2.7460250854492188,
