dataset,missing_mechanism,missing_rate,imputation,model,model_type,accuracy,f1,precision,recall,roc_auc,balanced_accuracy,f1_macro,recall_class1,pr_auc,threshold,training_time_seconds,error
taiwan_bankruptcy,,,mean,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,253.5786919593811,
taiwan_bankruptcy,,,mean,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,11.157641887664797,
taiwan_bankruptcy,,,median,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,299.6380567550659,
taiwan_bankruptcy,,,median,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,10.761334419250488,
taiwan_bankruptcy,,,knn,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,250.4162244796753,
taiwan_bankruptcy,,,knn,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,10.78821611404419,
taiwan_bankruptcy,,,mice,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,250.07420182228088,
taiwan_bankruptcy,,,mice,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,10.940912246704102,
taiwan_bankruptcy,,,mice_indicator,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,39.04529356956482,
taiwan_bankruptcy,,,mice_indicator,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,10.12670636177063,
taiwan_bankruptcy,,,none,TabPFN,Foundation,0.8511730205278593,0.8967952543684383,0.9725387275034548,0.8511730205278593,0.9659693526170798,0.912121212121212,0.6071735111814787,0.9772727272727272,0.6104646674729154,0.0196210071444511,322.29999589920044,
taiwan_bankruptcy,,,none,TabICL,Foundation,0.8548387096774194,0.8988154834920741,0.9698304993766028,0.8548387096774194,0.9577651515151516,0.8810606060606061,0.6034767288210248,0.9090909090909092,0.5698850033209159,0.0180226471275091,11.05350136756897,
taiwan_bankruptcy,MCAR,5.0,mean,TabPFN,Foundation,0.8841642228739003,0.917045864426087,0.9701657629637784,0.8841642228739003,0.9608126721763086,0.8852272727272728,0.6335527926653426,0.8863636363636364,0.6069142538797168,0.0309095904231071,299.1526792049408,
taiwan_bankruptcy,MCAR,5.0,mean,TabICL,Foundation,0.8966275659824047,0.9245464171454724,0.9690434659958352,0.8966275659824047,0.9548811983471074,0.8696969696969696,0.6440389046724475,0.8409090909090909,0.5615390942015223,0.030915442854166,11.176465272903442,
taiwan_bankruptcy,MCAR,5.0,median,TabPFN,Foundation,0.8936950146627566,0.9228628967485406,0.9697756925345026,0.8936950146627566,0.9636019283746556,0.8791666666666667,0.6430266746322966,0.8636363636363636,0.602037774832364,0.03955078125,252.60049033164975,
taiwan_bankruptcy,MCAR,5.0,median,TabICL,Foundation,0.9010263929618768,0.9272995522652628,0.969325692557418,0.9010263929618768,0.9555268595041322,0.8719696969696971,0.6502371450659201,0.8409090909090909,0.5585070989345716,0.037295714020729,11.116061210632324,
taiwan_bankruptcy,MCAR,5.0,knn,TabPFN,Foundation,0.9120234604105572,0.9338703656877264,0.9683242306629022,0.9120234604105572,0.965142906336088,0.8556818181818182,0.6605698643772552,0.7954545454545454,0.6187028744633107,0.05126953125,252.59439945220947,
taiwan_bankruptcy,MCAR,5.0,knn,TabICL,Foundation,0.9090909090909092,0.932198471805784,0.9689942678478376,0.9090909090909092,0.9574638429752064,0.8651515151515152,0.6591868975078183,0.8181818181818182,0.5814089549406029,0.0363148525357246,11.470902681350708,
taiwan_bankruptcy,MCAR,5.0,mice,TabPFN,Foundation,0.9127565982404692,0.9343324190419184,0.968383428492692,0.9127565982404692,0.9581525482093664,0.856060606060606,0.6617507621840035,0.7954545454545454,0.5914208455423123,0.0490893013775348,258.046911239624,
taiwan_bankruptcy,MCAR,5.0,mice,TabICL,Foundation,0.8467741935483871,0.8937448677980474,0.969549248394333,0.8467741935483871,0.953374655647383,0.8768939393939394,0.5955628760439854,0.9090909090909092,0.5449434466594194,0.0161994602531194,11.135797023773192,
taiwan_bankruptcy,MCAR,5.0,mice_indicator,TabPFN,Foundation,0.9032258064516128,0.9285162252621514,0.9685698210266852,0.9032258064516128,0.9591081267217632,0.8621212121212121,0.6503216183462291,0.8181818181818182,0.5893747653913869,0.0412204414606094,76.87158370018005,
